Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_BUSAVG,2016-01-28,14.11,13.67,14.22,14.69,16.66,24.34,50.53,33.67,23.36,21.51,20.62,19.76,18.05,17.27,16.45,16.19,16.19,22.44,24.85,20.73,19.25,17.94,16.35,15.47
HB_BUSAVG,2016-01-29,12.95,12.07,11.79,12.81,13.86,19.57,38.72,25.14,19.64,18.59,16.88,16.33,14.55,14.33,14.2,13.7,14.16,20.39,20.09,16.25,15.43,14.76,14.38,11.41
HB_BUSAVG,2016-01-30,14.0,13.12,12.69,13.19,14.24,15.07,15.92,18.53,20.97,21.55,22.29,17.79,16.05,15.32,14.63,13.39,13.55,16.81,18.4,15.32,14.51,13.53,11.22,8.85
HB_BUSAVG,2016-01-31,6.04,5.49,5.46,5.21,5.13,5.12,9.35,11.25,13.82,15.38,15.66,15.89,18.72,19.79,19.4,21.23,23.49,30.05,38.0,24.99,21.57,17.54,15.92,14.06
HB_BUSAVG,2016-02-01,9.72,6.3,5.55,8.89,9.24,17.33,24.93,20.19,18.12,17.93,17.3,15.21,14.63,14.46,14.04,14.66,14.82,22.38,26.23,18.5,16.43,15.2,12.35,9.76
HB_BUSAVG,2016-02-02,5.38,4.96,4.97,5.03,8.66,11.91,16.86,16.55,16.18,16.26,16.63,15.01,15.01,15.54,15.57,15.68,15.86,22.7,33.71,21.21,17.94,17.25,16.05,14.99
HB_BUSAVG,2016-02-03,11.21,11.54,12.1,13.18,14.23,19.78,34.56,23.28,19.71,18.01,15.8,15.7,14.94,14.81,14.52,14.25,14.66,20.76,35.09,22.79,20.05,18.04,16.58,15.91
HB_BUSAVG,2016-02-04,13.27,13.65,13.85,14.89,16.79,20.51,50.98,34.8,22.23,18.73,17.66,16.01,15.31,14.88,14.1,14.12,14.58,18.43,25.57,19.25,17.95,16.65,14.78,13.23
HB_BUSAVG,2016-02-05,10.53,7.78,8.78,9.46,12.34,16.81,33.54,22.23,16.99,15.4,13.99,14.53,14.1,14.26,13.95,13.77,14.71,17.65,24.02,17.68,16.68,15.66,15.86,15.18
HB_BUSAVG,2016-02-06,12.12,11.59,11.68,12.22,13.03,15.59,17.48,21.28,23.62,23.54,19.24,17.01,14.75,14.19,13.48,13.11,14.01,18.66,27.98,18.03,15.94,15.16,14.94,13.62
